,id,Name,Symbol,price,var_last_heure,var_last_day,var_cap,var_volume_day,var_circulating_supply,date,heure,variation_1h,moyenne_day
1106,5,Solana,SOL,0.0021869788658222893,0.0,1.92,0.051754690175273586,0.019295503974731953,470723189,2024-11-01,18:05:33,-0.0001881450899439692,0.002243184974359225
1107,4,Solana,SOL,0.0024520035016036864,0.0,0.0,0.05811415381796361,0.054346256351916464,471018868,2024-11-06,19:39:31,0.0012118297667708582,0.0024895403255309123
1108,4,Solana,SOL,0.0024520035016036864,0.0,0.0,0.05811415381796361,0.054346256351916464,471018868,2024-11-06,19:39:52,0.0,0.0024895403255309123
1109,4,Solana,SOL,0.0024516091197052023,0.0,0.0,0.05810558515666194,0.05445228011696756,471018535,2024-11-06,19:45:40,-1.608406605189853e-06,0.0024895403255309123
1110,4,Solana,SOL,0.0024516091197052023,0.0,0.0,0.05810558515666194,0.05445228011696756,471018535,2024-11-06,19:46:01,0.0,0.0024895403255309123
1111,4,Solana,SOL,0.0024516091197052023,0.0,0.0,0.05810558515666194,0.05445228011696756,471018535,2024-11-06,19:46:21,0.0,0.0024895403255309123
1112,4,Solana,SOL,0.0024885495575298912,0.0,0.0,0.05898674771283438,0.05670597781965557,471016713,2024-11-06,23:07:59,0.000150678320553381,0.0024895403255309123
1113,88,Starknet,STRK,4.836214776196625e-06,0.0,8.41,4.7076916709771794e-05,0.00043361616377067617,1939626429,2024-10-26,12:48:56,0.0,4.895147359926536e-06
1114,89,Starknet,STRK,4.829641744555222e-06,0.12,8.46,4.6452494894425186e-05,0.0004329350122920193,1939626429,2024-10-26,13:01:36,-1.3590649633052473e-05,4.895147359926536e-06
1115,88,Starknet,STRK,4.846731626822871e-06,0.42,0.07,4.810512898450087e-05,0.00021312723575561777,1939626429,2024-10-27,11:11:07,3.538377789874859e-05,4.957729297617208e-06
1116,87,Starknet,STRK,4.942697888787365e-06,0.35,0.0,5.7570668756233556e-05,0.000189369484334824,1939626429,2024-10-27,18:31:45,0.00019799294819636485,4.957729297617208e-06
